go:0000001 | distribution_of | mitochondria
go:0004720 | has_product | hydrogen_peroxide
go:0004720 | has_reactant | o2
go:0004720 | has_reactant | h2o
go:0004720 | has_reactant | peptidyl-l-lysyl-peptide
go:0004721 | has_reactant | h2o
go:0004721 | has_reactant | phosphoprotein
go:0004721 | has_product | phosphate
go:0004721 | has_product | protein
go:0004722 | has_reactant | protein_threonine_phosphate
go:0004722 | has_reactant | protein_serine_phosphate
go:0004722 | has_product | phosphate
go:0004722 | has_product | protein_threonine
go:0004722 | has_product | protein_serine
go:0004723 | requires | calcium_ions
go:0004723 | has_reactant | protein_serine_phosphate
go:0004723 | has_reactant | protein_threonine_phosphate
go:0004723 | has_product | protein_threonine
go:0004723 | has_product | phosphate
go:0004723 | has_product | protein_serine
go:0004723 | has_reactant | h2o
go:0004725 | has_product | protein_tyrosine
go:0004725 | has_product | phosphate
go:0004725 | has_reactant | protein_tyrosine_phosphate
go:0004725 | has_reactant | h2o
go:0004726 | has_reactant | h2o
go:0004726 | has_product | phosphate
go:0004726 | has_product | non_membrane_spanning_protein_tyrosine
go:0004726 | has_reactant | non_membrane_spanning_protein_tyrosine_phosphate
go:0004729 | has_product | protoporphyrin_ix
go:0004729 | has_reactant | o2
go:0004729 | has_product | h2o2
go:0004729 | has_reactant | protoporphyrinogen_ix
go:0004730 | has_product | h2o
go:0004730 | has_reactant | uracil
go:0004730 | has_reactant | d-ribose_5-phosphate
go:0004730 | has_product | pseudouridine_5'-phosphate
go:0004731 | has_product | purine
go:0004731 | has_product | alpha-d-ribose 1-phosphate
go:0004731 | has_reactant | phosphate
go:0004731 | catalysis_of_the_reaction | purine_nucleoside + phosphate = purine + alpha-d-ribose 1-phosphate
go:0004731 | has_reactant | purine_nucleoside
go:0004732 | has_reactant | h2o
go:0004732 | has_reactant | o2
go:0004732 | has_product | 4-pyridoxate
go:0004732 | has_product | h2o2
go:0004732 | has_reactant | pyridoxal
go:0004732 | has_product | h+
go:0004733 | oxidizes | pyridoxine_5'_phosphate
go:0004733 | has_product | nh4+
go:0004733 | has_product | hydrogen_peroxide
go:0004733 | has_product | pyridoxal_5'_phosphate
go:0004733 | has_reactant | pyridoxamine_5'_phosphate
go:0004733 | has_reactant | h2o
go:0004733 | has_reactant | o2
go:0004734 | has_reactant | oxidized_glutathione
go:0004734 | has_reactant | pyrimidodiazepine
go:0004734 | has_product | glutathione
go:0004734 | has_product | 6-pyruvoyltetrahydropterin
go:0004735 | has_reactant | l-proline
go:0004735 | has_product | 1-pyrroline-5-carboxylate
go:0004735 | has_product | h+
go:0004735 | has_reactant | nadp+
go:0004735 | has_product | nadph
go:0004736 | has_reactant | pyruvate
go:0004736 | has_reactant | bicarbonate
go:0004736 | has_product | phosphate
go:0004736 | has_product | oxaloacetate
go:0004736 | has_product | adp
go:0004736 | has_product | h+
go:0004736 | has_reactant | atp
go:0004737 | has_product | co2
go:0004737 | has_reactant | 2-oxo_acid
go:0004737 | has_product | aldehyde
go:0004739 | has_reactant | h+
go:0004739 | has_product | n(6)-[(r)-s(8)-acetyldihydrolipoyl]-l-lysyl-[protein]
go:0004739 | has_product | co2
go:0004739 | has_reactant | pyruvate
go:0004740 | has_reactant | l-seryl-[pyruvate_dehydrogenase_e1_alpha_subunit]
go:0004740 | has_reactant | atp
go:0004740 | has_product | o-phospho-l-seryl-[pyruvate_dehydrogenase_e1_alpha_subunit]
go:0004740 | has_product | h+
go:0004740 | has_product | adp
go:0004741 | has_product | l-seryl-[pyruvate_dehydrogenase_e1_alpha_subunit]
go:0004741 | catalysis_of_the_reaction | o-phospho-l-seryl-[pyruvate_dehydrogenase_e1_alpha_subunit] + h2o = l-seryl-[pyruvate_dehydrogenase_e1_alpha_subunit] + phosphate
go:0004741 | has_product | phosphate
go:0004741 | has_reactant | h2o
go:0004741 | has_reactant | o-phospho-l-seryl-[pyruvate_dehydrogenase_e1_alpha_subunit]
go:0004742 | has_product | coa
go:0004742 | has_product | n(6)-[(r)-s(8)-acetyldihydrolipoyl]-l-lysyl-[protein]
go:0004742 | has_reactant | acetyl-coa
go:0004742 | has_reactant | n(6)-[(r)-dihydrolipoyl]-l-lysyl-[protein]
go:0004743 | has_reactant | adp
go:0004743 | has_product | pyruvate
go:0004743 | has_reactant | phosphoenolpyruvate
go:0004743 | has_product | atp
go:0004743 | has_reactant | h+
go:0004745 | has_reactant | all-trans-retinol
go:0004745 | has_product | nadh
go:0004745 | has_reactant | nad+
go:0004745 | has_product | h+
go:0004745 | has_product | all-trans-retinal
go:0004746 | has_product | riboflavin
go:0004746 | has_product | 5-amino-6-(D-ribitylamino)uracil
go:0004746 | has_reactant | 2_6,7-dimethyl-8-(1-D-ribityl)lumazine
go:0004746 | has_reactant | h+
go:0004747 | has_reactant | d-ribose
go:0004747 | has_product | d-ribose_5-phosphate
go:0004747 | has_reactant | atp
go:0004747 | has_product | adp
go:0004748 | has_product | ribonucleoside_diphosphate
go:0004748 | has_product | thioredoxin
go:0004748 | has_reactant | h2o
go:0004748 | has_reactant | thioredoxin_disulfide
go:0004748 | has_reactant | 2'-deoxyribonucleoside_diphosphate
go:0004749 | has_reactant | d-ribose_5-phosphate
go:0004749 | has_product | 5-phospho-alpha-d-ribose_1-diphosphate
go:0004749 | has_product | 2_h+
go:0004749 | has_product | amp
go:0004749 | has_reactant | atp
go:0004750 | has_reactant | d-ribulose_5-phosphate
go:0004750 | has_product | d-xylulose_5-phosphate
aldehydo-d-ribose_5-phosphate | is_substrate_of | go:0004751
go:0004751 | has_product | d-ribulose_5-phosphate
go:0004751 | has_reactant | aldehydo-d-ribose_5-phosphate
d-ribulose_5-phosphate | is_product_of | go:0004751
cleavage_of_n6-(l-1,3-dicarboxypropyl)-l-lysine | releases | amino_acid
cleavage_of_n6-(l-1,3-dicarboxypropyl)-l-lysine | concomitant_with | reduction_of_electron_acceptor
amino_acid | includes | lysine
amino_acid | includes | glutamate
go:0004753 | catalysis_of | cleavage_of_n6-(l-1,3-dicarboxypropyl)-l-lysine
go:0004754 | has_reactant | h2o
go:0004754 | has_product | l-lysine
go:0004754 | has_product | h+
go:0004754 | has_reactant | nad+
go:0004754 | has_product | 2-oxoglutarate
go:0004754 | has_product | nadh
go:0004754 | has_reactant | l-saccharopine
go:0004755 | has_product | l-allysine
go:0004755 | has_reactant | l-saccharopine
go:0004755 | has_reactant | h2o
go:0004755 | has_product | l-glutamate
go:0004755 | has_reactant | nadp+
go:0004755 | has_product | nadph
go:0004755 | has_product | h+
go:0004756 | has_reactant | h2o
go:0004756 | has_reactant | atp
go:0004756 | has_reactant | hydrogen_selenide
go:0004756 | has_product | amp
go:0004756 | has_product | phosphate
go:0004756 | has_product | h+
go:0004756 | has_product | selenophosphorate
go:0004757 | has_reactant | nadp+
go:0004757 | has_product | 6-pyruvoyl-5,6,7,8-tetrahydropterin
go:0004757 | has_reactant | 7,8-dihydrobiopterin
go:0004757 | has_product | h+
go:0004757 | has_product | 2 h+
go:0004757 | has_product | 2 nadph
go:0004757 | has_reactant | 6r-l-erythro-5,6,7,8-tetrahydrobiopterin
go:0004757 | has_product | nadph
go:0004757 | has_reactant | 2 nadp+
go:0004757 | has_product | sepiapterin
go:0004758 | has_reactant | l-serine
go:0004758 | has_product | coa
go:0004758 | has_product | 3-dehydrosphinganine
go:0004758 | has_product | co2
go:0004758 | has_reactant | h+
go:0004758 | has_reactant | palmitoyl-coa
go:0004760 | has_reactant | l-serine
go:0004760 | has_product | 3-hydroxypyruvate
go:0004760 | has_reactant | pyruvate
go:0004760 | has_product | l-alanine
go:0004764 | has_product | h+
go:0004764 | has_reactant | shikimate
go:0004764 | has_reactant | nadp+
go:0004764 | has_product | nadph
go:0004764 | has_product | 3-dehydroshikimate
go:0004765 | has_product | 3-phosphoshikimate
go:0004765 | has_reactant | atp
go:0004765 | has_reactant | shikimate
go:0004765 | has_product | 2_h+
go:0004765 | has_product | adp
go:0004766 | has_reactant | putrescine
go:0004766 | has_reactant | s-adenosylmethioninamine
go:0004766 | has_product | spermidine
go:0004766 | has_product | 5'-methylthioadenosine
go:0004767 | has_reactant | h2o
go:0004767 | has_reactant | sphingomyelin
go:0004767 | has_product | choline_phosphate
go:0004767 | has_product | ceramide
go:0004767 | has_product | h+
go:0004768 | has_product | (9z)-octadecenoyl-coa
go:0004768 | has_reactant | octadecanoyl-coa
go:0004768 | has_product | 2_h2o
go:0004768 | has_product | 2_fe(iii)-[cytochrome_b5]
go:0004768 | has_reactant | 2_h+
go:0004768 | has_reactant | 2_fe(ii)-[cytochrome_b5]
go:0004768 | has_reactant | o2
go:0004769 | has_reactant | 3-oxo-delta(5)-steroid
go:0004769 | has_product | 3-oxo-delta(4)-steroid
go:0004771 | has_product | fatty_acid
go:0004771 | has_reactant | h2o
go:0004771 | has_product | sterol
go:0004771 | has_reactant | sterol_ester
go:0004771 | has_product | h+
go:0004772 | has_reactant | long-chain_fatty_acyl-coa
go:0004772 | has_product | coa
go:0004772 | has_product | sterol_ester
go:0004772 | has_reactant | sterol
go:0004773 | has_product | sulfate
go:0004773 | has_product | 3-beta-hydroxyandrost-5-en-17-one
go:0004773 | has_reactant | 3-beta-hydroxyandrost-5-en-17-one_3-sulfate
go:0004773 | has_reactant | h2o
go:0004774 | has_reactant | coa
go:0004774 | has_product | phosphate
go:0004774 | has_product | succinyl-coa
go:0004774 | has_product | nucleotide_diphosphate
go:0004774 | has_reactant | succinate
go:0004774 | has_reactant | nucleotide_triphosphate
go:0004775 | has_reactant | coa
go:0004775 | has_reactant | atp
go:0004775 | has_product | adp
go:0004775 | has_reactant | succinate
go:0004775 | has_product | phosphate
go:0004775 | has_product | succinyl-coa
go:0004776 | has_reactant | gtp
go:0004776 | has_product | succinyl-coa
go:0004776 | has_reactant | coa
go:0004776 | has_product | phosphate
go:0004776 | has_reactant | succinate
go:0004776 | has_product | gdp
go:0004777 | has_reactant | nad+
go:0004777 | has_reactant | h2o
go:0004777 | has_product | nadh
go:0004777 | has_product | succinate
go:0004777 | has_product | h+
go:0004777 | has_reactant | succinate_semialdehyde
go:0004778 | has_product | succinate
go:0004778 | has_product | coa
go:0004778 | has_reactant | h2o
go:0004778 | has_reactant | succinyl-coa
go:0004778 | has_product | h+
adenylylsulfate | is_a | adenylyl_group_transfer_product
adenylylsulfate | formed_from | sulfate
adenylyl_group | transferred_from | adenosine_nucleotide
go:0004779 | catalysis_of | adenylyl_group_transfer
adenosine_nucleotide | includes | adp
adenylyl_group | transferred_to | sulfate
adenosine_nucleotide | includes | atp
go:0004780 | has_reactant | adp
go:0004780 | has_product | phosphate
go:0004780 | has_reactant | sulfate
go:0004780 | has_reactant | h+
go:0004780 | has_product | 5'-adenylyl_sulfate
go:0004781 | has_reactant | atp
go:0004781 | has_product | adenosine_5'-phosphosulfate
go:0004781 | has_product | diphosphate
go:0004781 | has_reactant | h+
go:0004781 | has_reactant | sulfate
go:0004782 | has_product | hypotaurine
go:0004782 | has_reactant | 3-sulfino-l-alanine
go:0004782 | has_product | co2
go:0004783 | has_reactant | 3_nadp+
go:0004783 | has_product | 3_h+
go:0004783 | has_reactant | 3_h2o
go:0004783 | has_product | 3_nadph
go:0004783 | has_product | sulfite
go:0004784 | has_product | o2
go:0004784 | has_reactant | superoxide
go:0004784 | has_product | hydrogen peroxide
go:0004784 | has_reactant | h+
go:0004787 | has_product | thiamine_monophosphate
go:0004787 | has_product | phosphate
go:0004787 | has_reactant | h2o
go:0004787 | has_reactant | thiamine_diphosphate
go:0004788 | has_product | amp
go:0004788 | has_reactant | atp
go:0004788 | has_product | thiamine_diphosphate
go:0004788 | has_reactant | thiamine
go:0004789 | has_product | thiamine_phosphate
go:0004789 | has_reactant | h+
go:0004789 | has_reactant | 4-methyl-5-(2-phosphoethyl)-thiazole
go:0004789 | has_reactant | 4-amino-2-methyl-5-diphosphomethylpyrimidine
go:0004789 | has_product | diphosphate
go:0004790 | has_product | s-adenosyl-l-homocysteine
go:0004790 | has_reactant | dimethyl_sulfide
go:0004790 | has_product | trimethylsulfonium
go:0004790 | has_reactant | s-adenosyl-l-methionine(1+)
go:0004791 | catalysis_of_the_reaction | nadph
go:0004791 | catalysis_of_the_reaction | nadp+
go:0004791 | has_reactant | nadp+
go:0004791 | catalysis_of_the_reaction | h+
go:0004791 | catalysis_of_the_reaction | thioredoxin-dithiol
go:0004791 | has_product | thioredoxin-disulfide
go:0004791 | has_reactant | thioredoxin-dithiol
go:0004791 | has_product | nadph
go:0004791 | catalysis_of_the_reaction | thioredoxin-disulfide
go:0004791 | has_product | h+
go:0004792 | has_product | sulfite
go:0004792 | has_reactant | thiosulfate
go:0004792 | has_product | thiocyanate
go:0004792 | has_product | 2_h+
go:0004792 | has_reactant | hydrogen_cyanide
go:0004793 | has_product | acetaldehyde
go:0004793 | has_product | glycine
go:0004793 | has_reactant | l-threonine
go:0004794 | has_reactant | l-threonine
go:0004794 | has_product | 2-oxobutanoate
go:0004794 | has_product | nh4
go:0004795 | has_product | phosphate
go:0004795 | has_reactant | h2o
go:0004795 | has_product | l-threonine
go:0004795 | has_reactant | o-phospho-l-homoserine
go:0004796 | has_reactant | prostaglandin_h(2)
go:0004796 | has_product | thromboxane_a(2)
go:0004797 | has_reactant | atp
go:0004797 | has_reactant | thymidine
go:0004797 | has_product | adp
go:0004797 | has_product | thymidine_5'-phosphate
go:0004798 | has_reactant | dtmp
go:0004798 | has_product | adp
go:0004798 | has_product | dtdp
go:0004798 | has_reactant | atp
go:0004799 | has_product | thymidylate
go:0004799 | has_product | 7,8-dihydrofolate
go:0004799 | has_reactant | 5,10-methylenetetrahydrofolate
go:0004799 | has_reactant | dUMP
go:0004800 | has_product | acceptor-h2
go:0004800 | has_reactant | iodide
go:0004800 | has_reactant | 3,3',5-triiodo-l-thyronine
go:0004800 | has_product | l-thyroxine
go:0004800 | has_reactant | acceptor
go:0004800 | has_reactant | h+
go:0004801 | has_product | d-erythrose_4-phosphate
go:0004801 | has_reactant | d-glyceraldehyde_3-phosphate
go:0004801 | has_reactant | sedoheptulose_7-phosphate
go:0004801 | has_product | d-fructose_6-phosphate
go:0004802 | has_reactant | ketose_phosphate_donor
go:0004802 | has_product | aldose_phosphate_acceptor
go:0004802 | catalysis_of | reversible_transfer_of_a_2-carbon_ketol_group
transposases | site-specific_for | transposon
recombination | required_for | transposition
transposases | involved_in | recombination
go:0004803 | catalysis_of | transposition_of_transposable_elements
go:0004805 | has_reactant | h2o
go:0004805 | has_product | alpha,alpha-trehalose
go:0004805 | has_reactant | alpha,alpha-trehalose_6-phosphate
go:0004805 | has_product | phosphate
go:0004806 | has_reactant | h2o
go:0004806 | has_product | h+
go:0004806 | has_product | diacylglycerol
go:0004806 | has_product | fatty_acid
go:0004806 | has_reactant | triacylglycerol
go:0004807 | has_reactant | d-glyceraldehyde_3-phosphate
go:0004807 | has_product | dihydroxyacetone_phosphate
go:0004808 | has_reactant | 5-aminomethyl-2-thiouridine34_in_tRNA
go:0004808 | has_product | 5-methylaminomethyl-2-thiouridine34_in_tRNA
go:0004808 | has_product | S-adenosyl-L-homocysteine
go:0004808 | has_reactant | S-adenosyl-L-methionine
go:0004808 | has_product | H+
go:0004810 | has_reactant | CTP
go:0004810 | has_product | tRNA_with_a_3'_CCA_end
go:0004810 | has_reactant | tRNA_precursor
go:0004810 | has_product | diphosphate
go:0004810 | has_reactant | ATP
go:0004812 | has_reactant | amino_acid
go:0004812 | has_reactant | atp
go:0004812 | catalysis_of | formation_of_aminoacyl-tRNA
go:0004812 | has_product | diphosphate
go:0004812 | has_reactant | trna
go:0004812 | has_product | amp
go:0004813 | has_product | amp
go:0004813 | has_reactant | l-alanine
go:0004813 | has_reactant | trna(ala)
go:0004813 | has_reactant | atp
go:0004813 | has_product | diphosphate
go:0004813 | has_product | l-alanyl-trna(ala)
atp | is_a_substrate | go:0004814
amp | is_a_product | go:0004814
l-arginine | is_a_substrate | go:0004814
go:0004814 | has_reactant | trna(arg)
go:0004814 | has_product | amp
go:0004814 | has_reactant | l-arginine
go:0004814 | has_product | diphosphate
diphosphate | is_a_product | go:0004814
go:0004814 | catalysis_of_the_reaction | atp + l-arginine + trna(arg) = amp + diphosphate + l-arginyl-trna(arg)
l-arginyl-trna(arg) | is_a_product | go:0004814
trna(arg) | is_a_substrate | go:0004814
go:0004814 | has_product | l-arginyl-trna(arg)
go:0004814 | has_reactant | atp
go:0004815 | has_reactant | atp
go:0004815 | has_reactant | tRNA(Asp)
go:0004815 | has_reactant | l-aspartate
go:0004815 | has_product | l-aspartyl-tRNA(Asp)
go:0004815 | has_product | amp
go:0004815 | has_product | diphosphate
go:0004816 | has_reactant | atp
go:0004816 | has_product | 2_h+
go:0004816 | has_reactant | trna(asn)
go:0004816 | has_product | diphosphate
go:0004816 | has_product | asn-trna(asn)
go:0004816 | has_reactant | l-asparagine
go:0004816 | has_product | amp
go:0004817 | has_product | diphosphate
go:0004817 | has_reactant | l-cysteine
go:0004817 | has_reactant | atp
go:0004817 | has_product | l-cysteinyl-trna(cys)
go:0004817 | has_product | amp
go:0004817 | has_reactant | trna(cys)
go:0004818 | has_product | diphosphate
go:0004818 | has_product | amp
go:0004818 | has_product | l-glutamyl-trna(glu)
go:0004818 | has_reactant | atp
go:0004818 | has_reactant | l-glutamate
go:0004818 | has_reactant | trna(glu)
go:0004819 | has_product | l-glutaminyl-trna(gln)
go:0004819 | has_product | diphosphate
go:0004819 | has_reactant | trna(gln)
go:0004819 | has_reactant | l-glutamine
go:0004819 | has_product | amp
go:0004819 | has_reactant | atp
go:0004820 | has_product | diphosphate
go:0004820 | has_reactant | trna(gly)
go:0004820 | has_reactant | atp
go:0004820 | has_reactant | glycine
go:0004820 | has_product | amp
go:0004820 | has_product | glycyl-trna(gly)
go:0004821 | has_reactant | atp
go:0004821 | has_reactant | trna(his)
go:0004821 | has_product | diphosphate
go:0004821 | has_product | amp
go:0004821 | has_reactant | l-histidine
go:0004821 | has_product | l-histidyl-trna(his)
go:0004822 | has_reactant | trna(ile)
go:0004822 | has_product | diphosphate
go:0004822 | has_reactant | atp
go:0004822 | has_product | 2_h+
go:0004822 | has_product | l-isoleucyl-trna(ile)
go:0004822 | has_reactant | l-isoleucine
go:0004822 | has_product | amp
go:0004823 | has_reactant | leucine
go:0004823 | has_product | leu-trna(leu)
go:0004823 | has_reactant | atp
go:0004823 | has_reactant | trna(leu)
go:0004823 | has_product | diphosphate
go:0004823 | has_product | h+
go:0004823 | has_product | amp
go:0004824 | has_reactant | atp
go:0004824 | has_product | l-lysyl-trna(lys)
go:0004824 | has_product | amp
go:0004824 | has_product | diphosphate
go:0004824 | has_reactant | l-lysine
go:0004824 | has_reactant | trna(lys)
go:0004825 | has_product | amp
go:0004825 | has_reactant | l-methionine
go:0004825 | has_reactant | atp
go:0004825 | has_product | diphosphate
go:0004825 | has_reactant | trna(met)
go:0004825 | has_product | l-methionyl-trna(met)
go:0004826 | has_product | diphosphate
go:0004826 | has_reactant | trna(phe)
go:0004826 | has_product | l-phenylalanyl-trna(phe)
go:0004826 | has_reactant | l-phenylalanine
go:0004826 | has_reactant | atp
go:0004826 | has_product | amp
go:0004827 | has_reactant | l-proline
go:0004827 | has_reactant | tRNA(Pro)
go:0004827 | has_reactant | atp
go:0004827 | catalysis_of_the_reaction | atp + l-proline + tRNA(Pro) = amp + diphosphate + l-prolyl-tRNA(Pro)
go:0004827 | has_product | l-prolyl-tRNA(Pro)
go:0004827 | has_product | diphosphate
go:0004827 | has_product | amp
go:0004828 | has_product | diphosphate
go:0004828 | has_product | l-seryl-trna(ser)
go:0004828 | has_reactant | l-serine
go:0004828 | has_product | l-seryl-trna(sec)
go:0004828 | has_product | amp
go:0004828 | has_reactant | trna(ser)
go:0004828 | has_reactant | atp
go:0004829 | has_reactant | l-threonine
go:0004829 | has_product | amp
go:0004829 | catalysis_of_reaction | atp + l-threonine + tRNA(Thr) = amp + diphosphate + l-threonyl-tRNA(Thr)
go:0004829 | has_product | l-threonyl-tRNA(Thr)
go:0004829 | has_reactant | tRNA(Thr)
go:0004829 | has_product | diphosphate
go:0004829 | has_reactant | atp
go:0004830 | has_product | l-tryptophanyl-trna(trp)
go:0004830 | has_reactant | trna(trp)
go:0004830 | has_reactant | l-tryptophan
go:0004830 | has_product | amp
go:0004830 | has_reactant | atp
go:0004830 | has_product | diphosphate
go:0004831 | has_reactant | l-tyrosine
go:0004831 | has_product | diphosphate
go:0004831 | has_reactant | trna(tyr)
go:0004831 | has_reactant | atp
go:0004831 | has_product | l-tyrosyl-trna(tyr)
go:0004831 | has_product | amp
go:0004831 | has_product | h+
go:0004832 | has_reactant | trna(val)
go:0004832 | has_reactant | atp
go:0004832 | has_product | 2_h+
go:0004832 | has_product | amp
go:0004832 | has_product | diphosphate
go:0004832 | has_product | l-valyl-trna(val)
go:0004832 | has_reactant | l-valine
go:0004833 | has_product | n-formyl-l-kynurenine
go:0004833 | has_reactant | l-tryptophan
go:0004833 | has_reactant | o2
go:0004834 | has_product | glyceraldehyde_3-phosphate
go:0004834 | has_product | h2o
go:0004834 | has_product | l-tryptophan
go:0004834 | has_reactant | l-serine
go:0004834 | has_reactant | (1s,2r)-1-c-(indol-3-yl)glycerol_3-phosphate
go:0004835 | has_reactant | atp
go:0004835 | has_product | phosphate
go:0004835 | has_reactant | l-tyrosine
go:0004835 | has_product | alpha-tubulin
go:0004835 | has_reactant | detyrosinated_alpha-tubulin
go:0004835 | has_product | adp
go:0004836 | has_reactant | tyramine
go:0004836 | has_reactant | l-ascorbate
go:0004836 | has_reactant | o2
go:0004836 | has_product | (r)-octopamine
go:0004836 | has_product | h2o
go:0004836 | has_product | l-dehydroascorbate
go:0004837 | has_product | co2
go:0004837 | has_product | tyramine
go:0004837 | has_reactant | l-tyrosine
go:0004838 | has_product | l-glutamate
go:0004838 | has_product | 4-hydroxyphenylpyruvate
go:0004838 | has_reactant | 2-oxoglutarate
go:0004838 | catalysis_of_the_reaction | l-tyrosine + 2-oxoglutarate = 4-hydroxyphenylpyruvate + l-glutamate
go:0004838 | has_reactant | l-tyrosine
go:0004839 | has_product | ppi
go:0004839 | has_product | amp
go:0004839 | has_reactant | ubiquitin
go:0004839 | is_first_step_in | cascade_of_reactions
go:0004839 | has_reactant | atp
go:0004839 | has_reactant | e1
go:0004839 | has_product | e1-ubiquitin
go:0004842 | has_reactant | Y
go:0004842 | has_product | X
go:0004842 | has_product | Y-Ub
go:0004842 | has_reactant | X-Ub
go:0004842 | catalysis_of | transfer_of_ubiquitin
go:0004843 | cleaves_from | target_protein
go:0004843 | removes_conjugation | ubiquitin
go:0004843 | cleaves_from_conjugated_protein | target_protein
ubiquitin | conjugated_to | target_protein
go:0004843 | cleaves_from_conjugated_protein | ubiquitin
go:0004843 | cleaves | ubiquitin
go:0004843 | acts_on | target_protein
thiol-dependent_isopeptidase_activity | cleaves | ubiquitin
go:0004843 | is_a | thiol-dependent_isopeptidase_activity
cleavage_of_the_n-c1'_glycosidic_bond | releases | free_base
cleavage_of_the_n-c1'_glycosidic_bond | between | damaged_dna_base_and_deoxyribose_sugar
go:0004844 | catalysis_of | cleavage_of_the_n-c1'_glycosidic_bond
cleavage_of_the_n-c1'_glycosidic_bond | leaving | apyrimidinic_site
uracil_bases_in_dna | result_from | misincorporation_of_dutp_opposite_an_adenine
enzymes | activity | recognize_and_remove_uracil_bases_in_dna
uracil_bases_in_dna | result_from | deamination_of_cytosine
go:0004845 | has_reactant | ump
go:0004845 | has_reactant | diphosphate
go:0004845 | has_product | 5-phospho-alpha-d-ribose_1-diphosphate
go:0004845 | has_product | uracil
go:0004846 | has_reactant | o2
go:0004846 | has_reactant | h2o
go:0004846 | has_product | hydrogen_peroxide
go:0004846 | has_reactant | urate
go:0004846 | has_product | 5-hydroxyisourate
go:0004847 | has_reactant | bicarbonate
go:0004847 | has_product | adp
go:0004847 | has_product | h+
go:0004847 | has_product | phosphate
go:0004847 | has_product | urea-1-carboxylate
go:0004847 | has_reactant | urea
go:0004847 | has_reactant | atp
go:0004848 | has_reactant | h+
go:0004848 | has_product | nh4
go:0004848 | has_product | co2
go:0004848 | has_reactant | h2o
go:0004848 | has_reactant | s-ureidoglycolate
go:0004848 | has_product | glyoxylate
go:0004849 | has_product | ump
go:0004849 | has_reactant | atp
go:0004849 | has_reactant | uridine
go:0004849 | has_product | adp
go:0004850 | has_product | uracil
go:0004850 | has_product | alpha-d-ribose_1-phosphate
go:0004850 | has_reactant | uridine
go:0004850 | has_reactant | phosphate
go:0004851 | has_product | 2_s-adenosyl-l-homocysteine
go:0004851 | has_reactant | uroporphyrin_iii
go:0004851 | has_product | precorrin-2
go:0004851 | has_reactant | 2_s-adenosyl-l-methionine
go:0004852 | has_product | uroporphyrinogen_iii
go:0004852 | has_reactant | hydroxymethylbilane
go:0004852 | has_product | h2o
go:0004853 | has_product | coproporphyrinogen
go:0004853 | has_product | co2
go:0004853 | has_reactant | uroporphyrinogen-iii
go:0004854 | has_reactant | nad+
go:0004854 | has_product | urate
go:0004854 | has_reactant | xanthine
go:0004854 | has_product | nadh
go:0004854 | has_product | h+
go:0004854 | has_reactant | h2o
go:0004855 | has_reactant | xanthine
go:0004855 | catalysis_of_reaction | xanthine+h2o+o2=urate+hydrogen_peroxide
go:0004855 | has_reactant | o2
go:0004855 | has_product | urate
go:0004855 | has_product | hydrogen_peroxide
go:0004855 | has_reactant | h2o
go:0004856 | has_reactant | atp
go:0004856 | has_product | adp
go:0004856 | has_reactant | d-xylulose
go:0004856 | catalysis_of_reaction | d-xylulose + atp = d-xylulose 5-phosphate + adp + h+
go:0004856 | has_product | h+
go:0004856 | has_product | d-xylulose 5-phosphate
go:0004857 | reduces_catalytic_activity | catalytic_activity
go:0004858 | binds_to | dUTP_pyrophosphatase
go:0004858 | reduces_activity_of | dUTP_pyrophosphatase
go:0004858 | stops | dUTP_pyrophosphatase
go:0004858 | prevents | dUTP_pyrophosphatase
go:0004859 | prevents_activity_of | phospholipase
phospholipase | catalyzes | hydrolysis_of_phospholipid
phospholipase | hydrolyzes | phospholipid
go:0004859 | stops_activity_of | phospholipase
phospholipid | subject_of | hydrolysis
go:0004859 | binds_to | phospholipase
go:0004859 | reduces_activity_of | phospholipase
go:0004860 | reduces_activity_of | protein_kinase
go:0004860 | prevents_activity_of | protein_kinase
go:0004860 | binds_to | protein_kinase
go:0004860 | stops_activity_of | protein_kinase
go:0004861 | prevents | cyclin-dependent_protein_serine/threonine_kinase
go:0004861 | reduces_activity_of | cyclin-dependent_protein_serine/threonine_kinase
go:0004861 | binds_to | cyclin-dependent_protein_serine/threonine_kinase
go:0004861 | stops | cyclin-dependent_protein_serine/threonine_kinase
go:0004862 | stops_activity_of | cAMP-dependent_protein_kinase
go:0004862 | binds_to | cAMP-dependent_protein_kinase
go:0004862 | prevents_activity_of | cAMP-dependent_protein_kinase
go:0004862 | reduces_activity_of | cAMP-dependent_protein_kinase
go:0004864 | prevents_activity_of | protein_phosphatase
go:0004864 | reduces_activity_of | protein_phosphatase
go:0004864 | binds_to | protein_phosphatase
go:0004864 | stops_activity_of | protein_phosphatase
go:0004865 | reduces_activity_of | serine/threonine_protein_phosphatase
go:0004865 | binds_to | serine/threonine_protein_phosphatase
go:0004865 | stops | serine/threonine_protein_phosphatase
serine/threonine_protein_phosphatase | catalyzes | protein_serine/threonine_phosphate + h2o = protein_serine/threonine + phosphate
go:0004865 | prevents | serine/threonine_protein_phosphatase
go:0004866 | binds_to | endopeptidase
go:0004866 | stops_activity_of | endopeptidase
go:0004866 | reduces_activity_of | endopeptidase
go:0004866 | prevents_activity_of | endopeptidase
go:0004867 | binds_to | serine-type_endopeptidase
go:0004867 | stops | serine-type_endopeptidase
go:0004867 | reduces_activity_of | serine-type_endopeptidase
